long,lat
-72.881,-57.355
-72.291,-57.264
-72.253,-56.833
-70.615,-56.479
158.91056,-54.51389
-67.7,-53.7833
-69.31667,-53.4
-69.68333,-52.31667
-73,-51
-72.4075,-50.63444
-68.9167,-50.2333
-66.59183,-49.59458
-70.23,-49.55
-71.4,-49.32638
-67.71,-49.3
-71.4,-48.9667
-67.61667,-48.81667
-71.23333,-48.25
-71.6833,-48.0667
-65.8,-47.9333
-71.99678,-47.8855
-71.45,-47.8833
-71.98971,-47.8333
-65.9,-47.75
-67.99498,-47.66536
-70.91667,-47.45
-67.25,-47.0333
-71.25,-46.91694
-71.25,-46.9167
-67.5333,-46.75716
-70.91667,-46.6
-71.72889,-46.55611
-71.71944,-46.5525
-71.73417,-46.53556
-67.5333,-46.4333
-67.5,-45.8667
170.65476,-45.85941
-61.53333,-45.83333
-68.8,-45.58998
146.25,-45.583
-69.0667,-45.5667
-69.08333,-45.55
-69.95,-45.3
-70.17538,-45.14094
-65.95,-45.1167
-66.51667,-45.1
-66.05,-45.1
-66,-45.1
-65.8667,-45.0333
-65.8833,-45.0167
-65.8,-45.01667
-65.7,-44.8
-67.4928,-44.5759
-68.93333,-44.43333
146.9667,-43.8667
146.966,-43.866
-68.61667,-43.81667
146.383,-43.733
172.82937,-43.72782
-65.4167,-43.72
-67.25,-43.71667
-65.4167,-43.6885
146.316,-43.666
146.27,-43.65
-74.69306,-43.60167
146.35,-43.6
146.3610669,-43.59863124
146.5210638,-43.56862957
146.5177638,-43.56532958
146.35,-43.533
172.63623,-43.53205
146.35,-43.53
146.17,-43.52
146.7410593,-43.50862715
146.7425192,-43.50411711
146.7375792,-43.50049712
146.75,-43.5
146.7314192,-43.49598715
146.7264893,-43.49236717
146.7264992,-43.48966715
146.7310591,-43.4886271
146.62,-43.48
146.97,-43.43
146.2410658,-43.42863114
145.95,-43.42
145.95,-43.4167
146.15,-43.4
146.917,-43.4
-67.7,-43.36667
146.43,-43.35
146.1810654,-43.34863112
-66.06972,-43.3
146.483,-43.283
146.466,-43.266
146.766,-43.25
146.7677545,-43.24862511
146.9910508,-43.23862304
148.0010345,-43.23861404
146.7677542,-43.231925
147.071049,-43.20862211
146.75,-43.2
146.77,-43.2
146.62,-43.17
146.77,-43.17
146.92,-43.17
146.35,-43.166
147.85,-43.166
147.0710481,-43.15862178
146.25,-43.15
147.7,-43.15
147.85,-43.15
147.07,-43.13
147.2510448,-43.12861997
146.483,-43.116
146.717,-43.1
146.92,-43.05
147.4810398,-43.04861739
